Order ID,Order Date,CustomerName,State,City
B-25815,10-10-2024,Harsh,Nagaland,Kohima
B-25822,18-10-2024,Tejas,Karnataka,Bangalore
B-26075,21-03-2024,Pearl,Maharashtra,Pune
B-25783,15-09-2024,Shivangi,Madhya Pradesh,Indore
B-26046,04-03-2024,Nishi,Maharashtra,Mumbai
B-25690,15-06-2024,Gunjan,Madhya Pradesh,Indore
B-25706,01-07-2024,Swetlana,Goa,Goa
B-25736,31-07-2024,Akshat,Maharashtra,Mumbai
B-25720,15-07-2024,Namrata,Punjab,Chandigarh
B-25907,11-12-2024,Jaydeep,Madhya Pradesh,Bhopal
B-25719,12-07-2024,Rashmi,Madhya Pradesh,Indore
B-26013,13-02-2024,Jahan,Madhya Pradesh,Bhopal
B-26044,02-03-2024,Sanjay,Goa,Goa
B-25649,05-05-2024,Rachna,Haryana,Chandigarh
B-25658,14-05-2024,Shefali,Rajasthan,Jaipur
B-25672,28-05-2024,Akanksha,Andhra Pradesh,Hyderabad
B-25624,22-04-2017,Vini,Karnataka,Bangalore
B-25884,28-11-2017,Sumeet,Maharashtra,Mumbai
B-25641,27-04-2017,Parishi,West Bengal,Kolkata
B-25841,01-11-2017,Ashvini,Maharashtra,Mumbai
B-25980,27-01-2017,Shweta,Rajasthan,Udaipur
B-26012,13-02-2017,Pearl,Maharashtra,Pune
B-26029,20-02-2017,Ramesh,Gujarat,Ahmedabad
B-26071,19-03-2017,Subhashree,Jammu and Kashmir,Kashmir
B-25646,01-05-2017,Sonal,Bihar,Patna
B-25677,02-06-2017,Ekta,West Bengal,Kolkata
B-25759,23-08-2017,Soumya,Sikkim,Gangtok
B-26059,12-03-2017,Rachna,Haryana,Chandigarh
B-25632,25-04-2017,Manish,Himachal Pradesh,Simla
B-26079,22-03-2017,Hazel,Karnataka,Bangalore
B-25674,28-05-2017,Mahima,Maharashtra,Pune
B-25965,21-01-2017,Saloni,West Bengal,Kolkata
B-25732,27-07-2018,Anubhaw,Karnataka,Bangalore
B-25834,29-10-2018,Ananya,Andhra Pradesh,Hyderabad
B-25784,15-09-2018,Rohit,Rajasthan,Jaipur
B-25982,29-01-2018,Hemangi,Delhi,Delhi
B-25788,21-09-2016,Dinesh,Tamil Nadu,Chennai
B-25742,03-08-2016,Ashwin,Goa,Goa
B-26088,26-03-2016,Bhavna,Sikkim,Gangtok
B-25707,01-07-2016,Shivani,Maharashtra,Mumbai
B-25758,22-08-2016,Shubham,Himachal Pradesh,Simla
B-26095,28-03-2017,Monisha,Rajasthan,Jaipur
